HTAG,B365H,HomeTeam,HTHG,FTHG,B365D,HTR,FTR,AwayTeam,FTAG,Date,B365A
0,2.35,Frosinone,1,2,3.3,H,H,Verona,1,08/10/2023,3.1
1,2.7,Lazio,2,3,3.3,H,H,Atalanta,2,08/10/2023,2.63
2,4.75,Cagliari,0,1,3.3,A,A,Roma,4,08/10/2023,1.83
1,1.6,Napoli,1,1,4.2,D,A,Fiorentina,3,08/10/2023,5.5
2,5.5,Verona,0,1,3.75,A,A,Napoli,3,21/10/2023,1.65
0,5.5,Torino,0,0,3.6,D,A,Inter,3,21/10/2023,1.7
2,2.7,Sassuolo,0,0,3.5,A,A,Lazio,2,21/10/2023,2.5
0,1.7,Roma,0,1,3.6,D,H,Monza,0,22/10/2023,5.25
0,1.73,Bologna,2,2,3.75,H,H,Frosinone,1,22/10/2023,5.0
0,2.2,Salernitana,0,2,3.2,D,D,Cagliari,2,22/10/2023,3.5
0,1.55,Atalanta,0,2,3.8,D,H,Genoa,0,22/10/2023,6.5
0,2.25,Milan,0,0,3.4,D,A,Juventus,1,22/10/2023,3.2
0,2.2,Udinese,0,1,3.3,D,D,Lecce,1,23/10/2023,3.4
1,1.44,Fiorentina,0,0,4.33,A,A,Empoli,2,23/10/2023,8.0
0,1.73,Genoa,1,1,3.6,H,H,Salernitana,0,27/10/2023,5.25
1,2.6,Sassuolo,1,1,3.4,D,D,Bologna,1,28/10/2023,2.63
1,2.75,Lecce,0,0,3.0,A,A,Torino,1,28/10/2023,2.8
0,1.36,Juventus,0,1,5.0,D,H,Verona,0,28/10/2023,8.0
2,2.3,Cagliari,0,4,3.3,A,H,Frosinone,3,29/10/2023,3.2
0,2.0,Monza,1,1,3.6,H,D,Udinese,1,29/10/2023,3.6
0,1.62,Inter,0,1,4.0,D,H,Roma,0,29/10/2023,5.5
2,2.2,Napoli,0,2,3.4,A,D,Milan,2,29/10/2023,3.3
2,5.25,Empoli,0,0,3.75,A,A,Atalanta,3,30/10/2023,1.67
0,2.25,Lazio,0,1,3.25,D,H,Fiorentina,0,30/10/2023,3.25
0,2.63,Bologna,0,1,3.2,D,H,Lazio,0,03/11/2023,2.75
1,7.0,Salernitana,0,0,4.75,A,A,Napoli,2,04/11/2023,1.44
1,3.3,Atalanta,0,1,3.5,A,A,Inter,2,04/11/2023,2.15
0,1.45,Milan,0,0,4.5,D,A,Udinese,1,04/11/2023,7.0
1,3.2,Verona,0,1,3.25,A,A,Monza,3,05/11/2023,2.3
0,2.7,Cagliari,0,2,3.2,D,H,Genoa,1,05/11/2023,2.7
0,1.57,Roma,0,2,3.8,D,H,Lecce,1,05/11/2023,6.5
1,2.9,Fiorentina,0,0,3.2,A,A,Juventus,1,05/11/2023,2.55
0,2.0,Frosinone,0,2,3.6,D,H,Empoli,1,06/11/2023,3.6
1,2.15,Torino,1,2,3.4,D,H,Sassuolo,1,06/11/2023,3.4
2,1.65,Sassuolo,1,2,4.2,A,D,Salernitana,2,10/11/2023,4.75
0,1.91,Genoa,1,1,3.3,H,H,Verona,0,10/11/2023,4.33
2,5.0,Lecce,0,2,3.6,A,D,Milan,2,11/11/2023,1.75
0,1.36,Juventus,0,2,5.0,D,H,Cagliari,1,11/11/2023,8.0
0,2.5,Monza,0,1,3.1,D,D,Torino,1,11/11/2023,3.0
0,1.22,Napoli,0,0,7.0,D,A,Empoli,1,12/11/2023,11.0
1,2.0,Fiorentina,1,2,3.4,D,H,Bologna,1,12/11/2023,3.8
0,3.75,Udinese,1,1,3.5,H,D,Atalanta,1,12/11/2023,2.0
0,3.0,Lazio,0,0,3.0,D,D,Roma,0,12/11/2023,2.63
0,1.18,Inter,1,2,8.0,H,H,Frosinone,0,12/11/2023,13.0
1,4.75,Salernitana,0,2,3.75,A,H,Lazio,1,25/11/2023,1.75
1,2.7,Atalanta,0,1,3.4,A,A,Napoli,2,25/11/2023,2.63
0,2.1,Milan,1,1,3.3,H,H,Fiorentina,0,25/11/2023,3.5
0,2.88,Cagliari,1,1,3.25,H,D,Monza,1,26/11/2023,2.5
2,2.75,Empoli,2,3,3.6,D,A,Sassuolo,4,26/11/2023,2.4
1,2.5,Frosinone,1,2,3.25,D,H,Genoa,1,26/11/2023,2.88
0,1.62,Roma,1,3,3.8,H,H,Udinese,1,26/11/2023,5.75
1,3.3,Juventus,1,1,3.25,D,D,Inter,1,26/11/2023,2.25
1,2.75,Verona,1,2,3.0,D,D,Lecce,2,27/11/2023,2.88
0,2.3,Bologna,0,2,3.25,D,H,Torino,0,27/11/2023,3.2
1,4.2,Monza,0,1,3.3,A,A,Juventus,2,01/12/2023,1.95
0,1.91,Genoa,1,1,3.6,H,D,Empoli,1,02/12/2023,3.8
0,1.62,Lazio,1,1,4.0,H,H,Cagliari,0,02/12/2023,5.25
0,1.44,Milan,1,3,4.5,H,H,Frosinone,1,02/12/2023,7.5
0,3.0,Lecce,0,1,3.2,D,D,Bologna,1,03/12/2023,2.45
0,1.45,Fiorentina,2,3,4.75,H,H,Salernitana,0,03/12/2023,7.0
1,1.7,Udinese,2,3,3.6,H,D,Verona,3,03/12/2023,5.25
0,3.8,Sassuolo,1,1,3.75,H,A,Roma,2,03/12/2023,1.91
1,2.8,Napoli,0,0,3.5,A,A,Inter,3,03/12/2023,2.4
0,2.9,Torino,1,3,3.2,H,H,Atalanta,0,04/12/2023,2.45
0,2.25,Juventus,0,1,3.25,D,H,Napoli,0,08/12/2023,3.25
1,4.2,Verona,0,1,3.4,A,D,Lazio,1,09/12/2023,1.95
1,2.5,Atalanta,1,3,3.2,D,H,Milan,2,09/12/2023,3.0
0,1.29,Inter,3,4,6.5,H,H,Udinese,0,09/12/2023,9.0
0,3.4,Frosinone,0,0,3.2,D,D,Torino,0,10/12/2023,2.25
0,2.15,Monza,0,1,3.1,D,H,Genoa,0,10/12/2023,3.75
2,3.75,Salernitana,0,1,3.3,A,A,Bologna,2,10/12/2023,2.05
0,2.1,Roma,1,1,3.3,H,D,Fiorentina,1,10/12/2023,3.5
0,2.55,Empoli,0,1,3.2,D,D,Lecce,1,11/12/2023,3.0
1,2.3,Cagliari,0,2,3.5,A,H,Sassuolo,1,11/12/2023,3.0
1,4.75,Genoa,0,1,3.2,A,D,Juventus,1,15/12/2023,1.91
1,2.15,Lecce,1,2,3.3,D,H,Frosinone,1,16/12/2023,3.5
0,1.33,Napoli,0,2,5.0,D,H,Cagliari,1,16/12/2023,9.5
0,1.6,Torino,1,1,3.8,H,H,Empoli,0,16/12/2023,6.0
0,1.62,Milan,2,3,4.33,H,H,Monza,0,17/12/2023,5.0
0,1.4,Fiorentina,0,1,5.0,D,H,Verona,0,17/12/2023,7.0
0,2.25,Udinese,1,2,3.5,H,D,Sassuolo,2,17/12/2023,3.1
0,2.38,Bologna,1,2,3.0,H,H,Roma,0,17/12/2023,3.25
1,4.75,Lazio,0,0,3.8,A,A,Inter,2,17/12/2023,1.73
1,1.3,Atalanta,0,4,5.5,A,H,Salernitana,1,18/12/2023,10.0
1,4.2,Empoli,0,0,3.4,A,A,Lazio,2,22/12/2023,1.91
0,2.25,Sassuolo,1,1,3.3,H,A,Genoa,2,22/12/2023,3.25
1,2.88,Monza,0,0,3.2,A,A,Fiorentina,1,22/12/2023,2.55
1,8.0,Salernitana,1,2,4.5,D,D,Milan,2,22/12/2023,1.44
1,6.0,Frosinone,0,1,3.75,A,A,Juventus,2,23/12/2023,1.62
0,2.7,Bologna,0,1,3.2,D,H,Atalanta,0,23/12/2023,2.75
0,1.75,Torino,0,1,3.5,D,D,Udinese,1,23/12/2023,5.0
0,1.22,Inter,1,2,7.0,H,H,Lecce,0,23/12/2023,11.0
0,2.38,Verona,0,2,3.25,D,H,Cagliari,0,23/12/2023,3.1
0,3.0,Roma,0,2,3.1,D,H,Napoli,0,23/12/2023,2.5
0,2.1,Fiorentina,0,1,3.2,D,H,Torino,0,29/12/2023,3.6
0,1.62,Napoli,0,0,4.0,D,D,Monza,0,29/12/2023,5.5
1,5.5,Genoa,1,1,3.8,D,D,Inter,1,29/12/2023,1.65
0,1.67,Lazio,0,3,3.8,D,H,Frosinone,1,29/12/2023,5.25
0,1.4,Atalanta,0,1,4.6,D,H,Lecce,0,30/12/2023,8.0
0,2.05,Cagliari,0,0,3.4,D,D,Empoli,0,30/12/2023,3.6
0,3.5,Udinese,1,3,3.1,H,H,Bologna,0,30/12/2023,2.25
0,1.45,Milan,0,1,4.75,D,H,Sassuolo,0,30/12/2023,6.5
0,1.91,Verona,0,0,3.4,D,A,Salernitana,1,30/12/2023,4.2
0,2.05,Juventus,0,1,3.0,D,H,Roma,0,30/12/2023,4.2
1,2.05,Bologna,0,1,3.0,A,D,Genoa,1,05/01/2024,4.33
0,1.17,Inter,1,2,8.0,H,H,Verona,1,06/01/2024,13.0
2,2.63,Frosinone,0,2,3.3,A,A,Monza,3,06/01/2024,2.7
0,2.2,Lecce,1,1,3.25,H,D,Cagliari,1,06/01/2024,3.4
0,3.25,Sassuolo,1,1,3.5,H,H,Fiorentina,0,06/01/2024,2.15
2,5.25,Empoli,0,0,3.8,A,A,Milan,3,07/01/2024,1.67
0,2.9,Torino,1,3,3.2,H,H,Napoli,0,07/01/2024,2.5
1,3.5,Udinese,0,1,3.2,A,A,Lazio,2,07/01/2024,2.2
0,7.5,Salernitana,1,1,4.5,H,A,Juventus,2,07/01/2024,1.4
1,2.4,Roma,1,1,3.2,D,D,Atalanta,1,07/01/2024,3.1
0,2.9,Genoa,0,0,3.0,D,D,Torino,0,13/01/2024,2.63
1,1.33,Napoli,1,2,5.0,D,H,Salernitana,1,13/01/2024,8.5
0,2.15,Verona,1,2,3.25,H,H,Empoli,1,13/01/2024,3.5
2,7.0,Monza,0,1,4.0,A,A,Inter,5,13/01/2024,1.5
0,1.65,Lazio,0,1,3.6,D,H,Lecce,0,14/01/2024,5.75
1,3.0,Cagliari,1,2,3.1,D,H,Bologna,1,14/01/2024,2.5
1,1.67,Fiorentina,0,2,3.75,A,D,Udinese,2,14/01/2024,5.5
0,2.2,Milan,1,3,3.2,H,H,Roma,1,14/01/2024,3.5
0,1.44,Atalanta,3,5,4.5,H,H,Frosinone,0,15/01/2024,7.5
0,1.4,Juventus,2,3,4.2,H,H,Sassuolo,0,16/01/2024,8.5
0,1.44,Roma,2,2,4.2,H,H,Verona,1,20/01/2024,8.5
1,4.0,Udinese,1,2,3.8,D,A,Milan,3,20/01/2024,1.85
1,2.4,Frosinone,0,3,3.4,A,H,Cagliari,1,21/01/2024,2.9
0,2.8,Empoli,2,3,3.3,H,H,Monza,0,21/01/2024,2.55
1,3.6,Salernitana,1,1,3.2,D,A,Genoa,2,21/01/2024,2.15
0,6.0,Lecce,0,0,3.5,D,A,Juventus,3,21/01/2024,1.65
2,3.5,Cagliari,0,1,3.2,A,A,Torino,2,26/01/2024,2.2
0,1.5,Atalanta,2,2,4.5,H,H,Udinese,0,27/01/2024,6.0
0,1.29,Juventus,0,1,5.5,D,D,Empoli,1,27/01/2024,10.0
1,1.67,Milan,1,2,3.75,D,D,Bologna,2,27/01/2024,5.25
1,2.1,Genoa,0,2,3.1,A,H,Lecce,1,28/01/2024,4.0
0,2.25,Monza,1,1,3.4,H,H,Sassuolo,0,28/01/2024,3.2
0,2.45,Verona,1,1,3.3,H,D,Frosinone,1,28/01/2024,2.9
0,2.25,Lazio,0,0,3.3,D,D,Napoli,0,28/01/2024,3.3
1,4.2,Fiorentina,0,0,3.6,A,A,Inter,1,28/01/2024,1.85
0,5.25,Salernitana,0,1,3.8,D,A,Roma,2,29/01/2024,1.67
0,3.75,Lecce,1,3,3.2,H,H,Fiorentina,2,02/02/2024,2.1
0,3.0,Empoli,0,0,3.0,D,D,Genoa,0,03/02/2024,2.6
0,2.25,Udinese,0,0,3.3,D,D,Monza,0,03/02/2024,3.3
1,5.0,Frosinone,1,2,4.2,D,A,Milan,3,03/02/2024,1.62
2,1.7,Bologna,1,4,3.75,A,H,Sassuolo,2,03/02/2024,5.0
0,1.5,Torino,0,0,4.0,D,D,Salernitana,0,04/02/2024,7.5
0,1.4,Napoli,0,2,4.5,D,H,Verona,1,04/02/2024,8.5
0,2.05,Atalanta,2,3,3.4,H,H,Lazio,1,04/02/2024,3.75
0,1.8,Inter,1,1,3.5,H,H,Juventus,0,04/02/2024,4.75
0,1.44,Roma,2,4,4.33,H,H,Cagliari,0,05/02/2024,7.5
1,2.38,Salernitana,0,1,3.2,A,A,Empoli,3,09/02/2024,3.2
1,3.5,Cagliari,0,1,3.3,A,A,Lazio,3,10/02/2024,2.15
1,4.2,Roma,2,2,3.5,H,A,Inter,4,10/02/2024,1.91
1,3.4,Sassuolo,1,1,3.3,D,D,Torino,1,10/02/2024,2.2
0,1.5,Fiorentina,3,5,4.33,H,H,Frosinone,1,11/02/2024,6.5
0,1.73,Bologna,2,4,3.6,H,H,Lecce,0,11/02/2024,5.25
0,2.05,Monza,0,0,3.4,D,D,Verona,0,11/02/2024,3.75
1,3.75,Genoa,0,1,3.3,A,A,Atalanta,4,11/02/2024,2.05
