Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,Competition
2026-03-17,Sporting CP,FK Bodø/Glimt,5,0,H,Champions League
2026-03-17,Chelsea,PSG,0,3,A,Champions League
2026-03-17,Man City,Real Madrid,1,2,A,Champions League
2026-03-17,Arsenal,Leverkusen,2,0,H,Champions League
2026-03-18,Barcelona,Newcastle,7,2,H,Champions League
2026-03-18,Liverpool,Galatasaray SK,4,0,H,Champions League
2026-03-18,Bayern Monaco,Atalanta,4,1,H,Champions League
2026-03-18,Tottenham,Atletico Madrid,3,2,H,Champions League
2026-04-07,Real Madrid,Bayern Monaco,1,2,A,Champions League
2026-04-07,Sporting CP,Arsenal,0,1,A,Champions League
